Gene,start,end,length
N_pdxJ~~~pdxJ_1~~~pdxJ_2,4858913,4858939,13
G_pdxJ~~~pdxJ_1~~~pdxJ_2,4858939,4860397,729
N_group_29256,4860397,4875991,7797
G_group_29256,4875991,4880425,2217
N_tktA_1~~~tktA_2~~~tktA,4880425,4885571,2573
G_tktA_1~~~tktA_2~~~tktA,4885571,4889549,1989
N_glnS_1~~~glnS_2~~~glnS,4889549,4890087,269
G_glnS_1~~~glnS_2~~~glnS,4890087,4893411,1662
N_mraZ~~~mraZ_2~~~mraZ_1,4893411,4894617,603
G_mraZ~~~mraZ_2~~~mraZ_1,4894617,4895553,468
N_rsxG,4895553,4895561,4
G_rsxG,4895561,4896797,618
N_group_29125,4896797,4905951,4577
G_group_29125,4905951,4906893,471
N_group_29122,4906893,4907125,116
G_group_29122,4907125,4908109,492
N_nemA~~~nemA_2~~~nemA_1,4908109,4908185,38
G_nemA~~~nemA_2~~~nemA_1,4908185,4910375,1095
N_folX,4910375,4910491,58
G_folX,4910491,4911211,360
N_wzxE_1~~~wzxE_2~~~wzxE_3~~~wzxE,4911211,4911215,2
G_wzxE_1~~~wzxE_2~~~wzxE_3~~~wzxE,4911215,4913711,1248
N_wecD,4913711,4913801,45
G_wecD,4913801,4915145,672
N_malZ~~~malZ_1~~~malZ_2~~~malZ_3,4915145,4915477,166
G_malZ~~~malZ_1~~~malZ_2~~~malZ_3,4915477,4919149,1836
N_ytfT_1~~~ytfT_2~~~ytfT,4919149,4919179,15
G_ytfT_1~~~ytfT_2~~~ytfT,4919179,4921219,1020
N_fpr_2~~~fpr~~~fpr_1,4921219,4921415,98
G_fpr_2~~~fpr~~~fpr_1,4921415,4922903,744
N_group_28884,4922903,4922951,24
G_group_28884,4922951,4924031,540
N_ubiX~~~ubiX_2~~~ubiX_1,4924031,4924223,96
G_ubiX~~~ubiX_2~~~ubiX_1,4924223,4925357,567
N_purF_2~~~purF_1~~~purF,4925357,4925433,38
G_purF_2~~~purF_1~~~purF,4925433,4928463,1515
N_group_28864,4928463,4928471,4
G_group_28864,4928471,4930385,957
N_pspG,4930385,4930655,135
G_pspG,4930655,4931135,240
N_purE_1~~~purE_2~~~purE,4931135,4931373,119
G_purE_1~~~purE_2~~~purE,4931373,4932387,507
N_ugpQ~~~ugpQ_2,4932387,4932391,2
G_ugpQ~~~ugpQ_2,4932391,4933873,741
N_ribE,4933873,4934053,90
G_ribE,4934053,4934989,468
N_livH~~~livH_2~~~livH_1,4934989,4935087,49
G_livH~~~livH_2~~~livH_1,4935087,4936935,924
N_metZ_1~~~metB_1~~~metB_2~~~metB,4936935,4944331,3698
G_metZ_1~~~metB_1~~~metB_2~~~metB,4944331,4946647,1158
N_glnQ_1~~~glnQ_3~~~glnQ_2~~~glnQ_4,4946647,4946665,9
G_glnQ_1~~~glnQ_3~~~glnQ_2~~~glnQ_4,4946665,4948177,756
N_rplM,4948177,4948619,221
G_rplM,4948619,4949471,426
N_fadB_1~~~fadB_3~~~fadB_2~~~fadB,4949471,4973001,11765
G_fadB_1~~~fadB_3~~~fadB_2~~~fadB,4973001,4977375,2187
N_queD,4977375,5019793,21209
G_queD,5019793,5020519,363
N_ompR_1~~~ompR_2~~~ompR,5020519,5039613,9547
G_ompR_1~~~ompR_2~~~ompR,5039613,5041047,717
N_glmS~~~glmS_1~~~glmS_2,5041047,5041373,163
G_glmS~~~glmS_1~~~glmS_2,5041373,5045027,1827
N_araD_1~~~araD~~~araD_2,5045027,5045709,341
G_araD_1~~~araD~~~araD_2,5045709,5047095,693
N_entB_2~~~entB_1~~~entB,5047095,5047123,14
G_entB_2~~~entB_1~~~entB,5047123,5048833,855
N_nadK,5048833,5050691,929
G_nadK,5050691,5052443,876
N_aceE~~~aceE_2~~~aceE_1~~~aceE_3,5052443,5052767,162
G_aceE~~~aceE_2~~~aceE_1~~~aceE_3,5052767,5058089,2661
N_group_28317,5058089,5058159,35
G_group_28317,5058159,5058711,276
G_yhhJ~~~yhhJ_2~~~yhhJ_1,5058711,5060973,1131
N_gpmA_1~~~gpmA~~~gpmA_2,5060973,5061545,286
G_gpmA_1~~~gpmA~~~gpmA_2,5061545,5063045,750
N_group_28081,5063045,5100541,18748
G_group_28081,5100541,5101507,483
N_nsrR~~~nsrR_2~~~nsrR_1,5101507,5101919,206
G_nsrR~~~nsrR_2~~~nsrR_1,5101919,5102765,423
N_ghxP~~~ghxP_2~~~ghxP_1,5102765,5104219,727
G_ghxP~~~ghxP_2~~~ghxP_1,5104219,5106913,1347
N_mnmG_2~~~mnmG_1~~~mnmG,5106913,5107799,443
G_mnmG_2~~~mnmG_1~~~mnmG,5107799,5111657,1929
N_rplA~~~rplA_1~~~rplA_2,5111657,5112159,251
G_rplA~~~rplA_1~~~rplA_2,5112159,5113563,702
N_leuS_1~~~leuS_2~~~leuS_3~~~leuS_4~~~leuS,5113563,5115143,790
G_leuS_1~~~leuS_2~~~leuS_3~~~leuS_4~~~leuS,5115143,5120303,2580
N_nrdD_3~~~nrdD_1~~~nrdD_2~~~nrdD,5120303,5121629,663
G_nrdD_3~~~nrdD_1~~~nrdD_2~~~nrdD,5121629,5125901,2136
N_fkpB,5125901,5126155,127
G_fkpB,5126155,5127049,447
N_cysB_2~~~cysB_1~~~cysB,5127049,5127473,212
G_cysB_2~~~cysB_1~~~cysB,5127473,5129417,972
N_dauR,5129417,5129753,168
G_dauR,5129753,5131193,720
N_tatE,5131193,5131453,130
G_tatE,5131453,5131855,201
N_ppc~~~ppc_1~~~ppc_2,5131855,5133053,599
G_ppc~~~ppc_1~~~ppc_2,5133053,5138507,2727
N_citF_1~~~citF_2~~~citF,5138507,5140339,916
G_citF_1~~~citF_2~~~citF,5140339,5143399,1530
N_rplK,5143399,5143719,160
G_rplK,5143719,5144571,426
N_lipA_3~~~lipA_2~~~lipA_1~~~lipA,5144571,5145219,324
G_lipA_3~~~lipA_2~~~lipA_1~~~lipA,5145219,5147145,963
N_murE_1~~~murE_2~~~murE~~~murE_3,5147145,5147199,27
G_murE_1~~~murE_2~~~murE~~~murE_3,5147199,5150169,1485
N_mepA_1~~~mepA,5150169,5150177,4
G_mepA_1~~~mepA,5150177,5151821,822
N_mdoG_2~~~mdoG_1~~~mdoG,5151821,5155287,1733
G_mdoG_2~~~mdoG_1~~~mdoG,5155287,5158287,1500
N_nusG_1~~~nusG_2~~~nusG,5158287,5159465,589
G_nusG_1~~~nusG_2~~~nusG,5159465,5160551,543
N_ileS_1~~~ileS_2~~~ileS_3~~~ileS,5160551,5160639,44
G_ileS_1~~~ileS_2~~~ileS_3~~~ileS,5160639,5166267,2814
N_guaC_1~~~guaC_2~~~guaC,5166267,5170821,2277
G_guaC_1~~~guaC_2~~~guaC,5170821,5172903,1041
N_hcp_1~~~hcp_2~~~hcp_3~~~hcp,5172903,5173193,145
G_hcp_1~~~hcp_2~~~hcp_3~~~hcp,5173193,5176493,1650
N_lrp~~~lrp_1~~~lrp_2,5176493,5212605,18056
G_lrp~~~lrp_1~~~lrp_2,5212605,5213589,492
N_dnaK_2~~~dnaK_1~~~dnaK_3~~~dnaK_4,5213589,5218133,2272
G_dnaK_2~~~dnaK_1~~~dnaK_3~~~dnaK_4,5218133,5221991,1929
N_parC_2~~~parC_1~~~parC,5221991,5223085,547
G_parC_2~~~parC_1~~~parC,5223085,5227627,2271
N_group_25219,5227627,5230907,1640
G_group_25219,5230907,5232491,792
N_pssA_3~~~pssA_2~~~pssA_1~~~pssA,5232491,5232721,115
G_pssA_3~~~pssA_2~~~pssA_1~~~pssA,5232721,5235427,1353
N_mdoH_1~~~mdoH_2~~~mdoH~~~mdoH_3,5235427,5238615,1594
G_mdoH_1~~~mdoH_2~~~mdoH~~~mdoH_3,5238615,5243697,2541
N_acrB_1~~~acrB_2~~~acrB_3~~~acrB_4,5243697,5243921,112
G_acrB_1~~~acrB_2~~~acrB_3~~~acrB_4,5243921,5250245,3162
N_hexR_1~~~hexR_2~~~murR_3~~~hexR,5250245,5259445,4600
G_hexR_1~~~hexR_2~~~murR_3~~~hexR,5259445,5261203,879
N_pta~~~pta_1~~~pta_2~~~pta_3,5261203,5261355,76
G_pta~~~pta_1~~~pta_2~~~pta_3,5261355,5265639,2142
N_sdaC_1~~~sdaC_2~~~sdaC_3~~~sdaC,5265639,5266755,558
G_sdaC_1~~~sdaC_2~~~sdaC_3~~~sdaC,5266755,5269329,1287
N_nfuA_1~~~nfuA_2~~~nfuA,5269329,5269921,296
G_nfuA_1~~~nfuA_2~~~nfuA,5269921,5271067,573
N_fis_1~~~fis_2~~~fis,5271067,5271121,27
G_fis_1~~~fis_2~~~fis,5271121,5271709,294
N_aspS_1~~~aspS_2~~~aspS,5271709,5281551,4921
G_aspS_1~~~aspS_2~~~aspS,5281551,5285091,1770
N_mlaE_1~~~mlaE_2~~~mlaE,5285091,5285109,9
G_mlaE_1~~~mlaE_2~~~mlaE,5285109,5286669,780
N_eno_3~~~eno_2~~~eno_1~~~eno,5286669,5286847,89
G_eno_3~~~eno_2~~~eno_1~~~eno,5286847,5289439,1296
N_ftsA_4~~~ftsA_3~~~ftsA_2~~~ftsA_1,5289439,5289443,2
G_ftsA_4~~~ftsA_3~~~ftsA_2~~~ftsA_1,5289443,5291963,1260
N_thrS_1~~~thrS_2~~~thrS,5291963,5300185,4111
G_thrS_1~~~thrS_2~~~thrS,5300185,5304037,1926
N_dusB_3~~~dusB_2~~~dusB_1~~~dusB,5304037,5304913,438
G_dusB_3~~~dusB_2~~~dusB_1~~~dusB,5304913,5306839,963
G_truD_2~~~truD_1~~~truD,5306839,5308933,1047
N_tdh_2~~~tdh_3~~~tdh_1,5308933,5308955,11
G_tdh_2~~~tdh_3~~~tdh_1,5308955,5311001,1023
N_hisS_1~~~hisS_2~~~hisS,5311001,5311225,112
G_hisS_1~~~hisS_2~~~hisS,5311225,5313799,1287
N_msbA_2~~~msbA_1~~~msbA_3,5313799,5313875,38
G_msbA_2~~~msbA_1~~~msbA_3,5313875,5317367,1746
N_pgi_3~~~pgi_1~~~pgi_2~~~pgi,5317367,5323511,3072
G_pgi_3~~~pgi_1~~~pgi_2~~~pgi,5323511,5326805,1647
N_aspA_5~~~aspA_2~~~aspA_1~~~aspA_6~~~aspA,5326805,5328465,830
G_aspA_5~~~aspA_2~~~aspA_1~~~aspA_6~~~aspA,5328465,5331333,1434
N_nrdA_1~~~nrdA_2~~~nrdB~~~nrdA_3~~~nrdA,5331333,5341089,4878
G_nrdA_1~~~nrdA_2~~~nrdB~~~nrdA_3~~~nrdA,5341089,5348199,3555
N_gdhA_1~~~gdhA_2~~~gdhA,5348199,5349149,475
G_gdhA_1~~~gdhA_2~~~gdhA,5349149,5351831,1341
N_argS_2~~~argS~~~argS_1,5351831,5365813,6991
G_argS_2~~~argS~~~argS_1,5365813,5369275,1731
N_polA_2~~~polA_1~~~polA,5369275,5371959,1342
G_polA_2~~~polA_1~~~polA,5371959,5377527,2784
N_tamA_1~~~tamA_2~~~tamA,5377527,5387647,5060
G_tamA_1~~~tamA_2~~~tamA,5387647,5391109,1731
N_relA_3~~~relA_2~~~relA_1~~~relA,5391109,5391223,57
G_relA_3~~~relA_2~~~relA_1~~~relA,5391223,5395705,2241
N_fadR~~~fadR_1~~~fadR_2,5395705,5400777,2536
G_fadR~~~fadR_1~~~fadR_2,5400777,5402211,717
N_potA_4~~~potA_3~~~potA_2,5402211,5405491,1640
G_potA_4~~~potA_3~~~potA_2,5405491,5407759,1134
N_ybeZ~~~ybeZ_2~~~ybeZ_1,5407759,5407989,115
G_ybeZ~~~ybeZ_2~~~ybeZ_1,5407989,5410143,1077
N_corC_1~~~corC_2~~~corC,5410143,5410325,91
G_corC_1~~~corC_2~~~corC,5410325,5412077,876
G_citD,5412077,5414003,963
N_ygiC~~~ygiC_1~~~ygiC_2,5414003,5414017,7
G_ygiC~~~ygiC_1~~~ygiC_2,5414017,5416333,1158
N_ybiT_1~~~ybiT_2~~~ybiT,5416333,5420757,2212
G_ybiT_1~~~ybiT_2~~~ybiT,5420757,5423943,1593
N_alaS_1~~~alaS_2~~~alaS,5423943,5424203,130
G_alaS_1~~~alaS_2~~~alaS,5424203,5429459,2628
N_dcuA_3~~~dcuA_2~~~dcuA_1~~~dcuA,5429459,5429697,119
G_dcuA_3~~~dcuA_2~~~dcuA_1~~~dcuA,5429697,5432295,1299
N_clpB_1~~~clpB_2~~~clpB,5432295,5432597,151
G_clpB_1~~~clpB_2~~~clpB,5432597,5437739,2571
N_obgE~~~obg~~~obgE_2~~~obgE_1,5437739,5437771,16
G_obgE~~~obg~~~obgE_2~~~obgE_1,5437771,5440111,1170
N_frdA_1~~~frdA_2~~~frdA,5440111,5453545,6717
G_frdA_1~~~frdA_2~~~frdA,5453545,5457157,1806
N_hspQ~~~hspQ_1~~~hspQ_2,5457157,5457277,60
G_hspQ~~~hspQ_1~~~hspQ_2,5457277,5457907,315
N_cyoE_1~~~cyoE~~~cyoE_2,5457907,5457933,13
G_cyoE_1~~~cyoE~~~cyoE_2,5457933,5459709,888
N_hisJ_2~~~hisJ_1~~~hisJ,5459709,5460153,222
G_hisJ_2~~~hisJ_1~~~hisJ,5460153,5461713,780
N_rsd_1~~~rsd~~~rsd_2,5461713,5471195,4741
G_rsd_1~~~rsd~~~rsd_2,5471195,5472143,474
N_murJ_1~~~murJ_2~~~murJ,5472143,5472365,111
G_murJ_1~~~murJ_2~~~murJ,5472365,5475431,1533
N_fadD_1~~~fadD~~~fadD_2,5475431,5475793,181
G_fadD_1~~~fadD~~~fadD_2,5475793,5479291,1749
N_barA_1~~~barA~~~barA_2~~~barA_3,5479291,5499351,10030
G_barA_1~~~barA~~~barA_2~~~barA_3,5499351,5504859,2754
N_ptsG_3~~~ptsG_2~~~ptsG_1~~~ptsG,5504859,5505451,296
G_ptsG_3~~~ptsG_2~~~ptsG_1~~~ptsG,5505451,5508463,1506
N_mlaD_1~~~mlaD_2~~~mlaD,5508463,5508473,5
G_mlaD_1~~~mlaD_2~~~mlaD,5508473,5509571,549
N_mlaF_2~~~mlaF_1~~~mlaF,5509571,5527639,9034
G_mlaF_2~~~mlaF_1~~~mlaF,5527639,5529253,807
N_group_24300,5529253,5529617,182
G_group_24300,5529617,5530709,546
N_aspC_2~~~aspC_1~~~aspC,5530709,5532241,766
G_aspC_2~~~aspC_1~~~aspC,5532241,5534617,1188
N_murC_2~~~murC_1~~~murC,5534617,5534727,55
G_murC_2~~~murC_1~~~murC,5534727,5537673,1473
N_ftsQ_1~~~ftsQ_2~~~ftsQ,5537673,5537677,2
G_ftsQ_1~~~ftsQ_2~~~ftsQ,5537677,5539333,828
G_lacC~~~pfkB_1,5539333,5541205,936
N_rnc~~~rnc_2~~~rnc_1,5541205,5541753,274
G_rnc~~~rnc_2~~~rnc_1,5541753,5543109,678
N_group_24255,5543109,5543437,164
G_group_24255,5543437,5544421,492
N_manX_1~~~manX~~~manX_2~~~manX_3,5544421,5548859,2219
G_manX_1~~~manX~~~manX_2~~~manX_3,5548859,5550797,969
N_bamA_1~~~bamA_2~~~bamA,5550797,5550859,31
G_bamA_1~~~bamA_2~~~bamA,5550859,5555719,2430
N_ycfH_1~~~ycfH~~~ycfH_2,5555719,5555743,12
G_ycfH_1~~~ycfH~~~ycfH_2,5555743,5557333,795
N_ftsE,5557333,5557339,3
G_ftsE,5557339,5558671,666
N_aroF~~~aroF_1~~~aroF_2,5558671,5569145,5237
G_aroF~~~aroF_1~~~aroF_2,5569145,5571281,1068
N_ppk_1~~~ppk_2~~~ppk,5571281,5571627,173
G_ppk_1~~~ppk_2~~~ppk,5571627,5575755,2064
N_waaA_1~~~waaA_2~~~waaA,5575755,5597659,10952
G_waaA_1~~~waaA_2~~~waaA,5597659,5600209,1275
N_edd_2~~~edd_1~~~edd,5600209,5600681,236
G_edd_2~~~edd_1~~~edd,5600681,5604299,1809
N_ilvM,5604299,5608577,2139
G_ilvM,5608577,5609099,261
N_tsf_1~~~tsf~~~tsf_2,5609099,5609617,259
G_tsf_1~~~tsf~~~tsf_2,5609617,5611315,849
N_alaA_1~~~alaA_2~~~alaA,5611315,5617853,3269
G_alaA_1~~~alaA_2~~~alaA,5617853,5620283,1215
N_group_24125,5620283,5623331,1524
G_group_24125,5623331,5624981,825
N_yadG_2~~~yadG~~~yadG_1,5624981,5626607,813
G_yadG_2~~~yadG~~~yadG_1,5626607,5628455,924
N_iscR_2~~~iscR_1~~~iscR,5628455,5629567,556
G_iscR_2~~~iscR_1~~~iscR,5629567,5630539,486
N_fabD_2~~~fabD_1~~~fabD,5630539,5630573,17
G_fabD_2~~~fabD_1~~~fabD,5630573,5632427,927
N_group_24110,5632427,5632851,212
G_group_24110,5632851,5633319,234
N_pykA_2~~~pykA_1~~~pykA,5633319,5633577,129
G_pykA_2~~~pykA_1~~~pykA,5633577,5636457,1440
N_nrdG_1~~~nrdG_2~~~nrdG,5636457,5636869,206
G_nrdG_1~~~nrdG_2~~~nrdG,5636869,5637799,465
N_ftsI_1~~~ftsI_2~~~ftsI,5637799,5637853,27
G_ftsI_1~~~ftsI_2~~~ftsI,5637853,5641381,1764
N_ulaR_2~~~ulaR_1~~~ulaR,5641381,5641599,109
G_ulaR_2~~~ulaR_1~~~ulaR,5641599,5643105,753
N_atpD_2~~~atpD_1~~~atpD,5643105,5643161,28
G_atpD_2~~~atpD_1~~~atpD,5643161,5645957,1398
N_rpoE,5645957,5649989,2016
G_rpoE,5649989,5651135,573
N_yidC_2~~~yidC_1~~~yidC,5651135,5651585,225
G_yidC_2~~~yidC_1~~~yidC,5651585,5654873,1644
N_group_23955,5654873,5676519,10823
G_group_23955,5676519,5679831,1656
N_lon_2~~~lon_3~~~lon_1,5679831,5680209,189
G_lon_2~~~lon_3~~~lon_1,5680209,5684913,2352
N_group_23913,5684913,5694973,5030
G_group_23913,5694973,5697067,1047
N_nudE~~~nudE_1~~~nudE_2,5697067,5706441,4687
G_nudE~~~nudE_1~~~nudE_2,5706441,5707557,558
N_map_2~~~map_1~~~map,5707557,5756461,24452
G_map_2~~~map_1~~~map,5756461,5758045,792
N_fusA_2~~~fusA_1~~~fusA,5758045,5758241,98
G_fusA_2~~~fusA_1~~~fusA,5758241,5762465,2112
N_carA~~~carA_1~~~carA_2,5762465,5763381,458
G_carA~~~carA_1~~~carA_2,5763381,5765673,1146
N_amiC_2~~~amiC_1~~~amiC,5765673,5769279,1803
G_amiC_2~~~amiC_1~~~amiC,5769279,5771781,1251
N_gyrB_1~~~gyrB_2~~~gyrB,5771781,5771841,30
G_gyrB_1~~~gyrB_2~~~gyrB,5771841,5776665,2412
N_minD_2~~~minD_1~~~minD,5776665,5776715,25
G_minD_2~~~minD_1~~~minD,5776715,5778335,810
N_cmk_1~~~cmk,5778335,5778683,174
G_cmk_1~~~cmk,5778683,5780045,681
N_clpA_2~~~clpA_1~~~clpA,5780045,5780109,32
G_clpA_2~~~clpA_1~~~clpA,5780109,5784657,2274
N_metI_2~~~metI_3~~~metI,5784657,5800467,7905
G_metI_2~~~metI_3~~~metI,5800467,5801769,651
N_proS_2~~~proS_1~~~proS,5801769,5801995,113
G_proS_2~~~proS_1~~~proS,5801995,5805427,1716
N_dnaJ_2~~~dnaJ_1~~~dnaJ,5805427,5805607,90
G_dnaJ_2~~~dnaJ_1~~~dnaJ,5805607,5807863,1128
N_trkH_1~~~trkH_2~~~trkH,5807863,5808207,172
G_trkH_1~~~trkH_2~~~trkH,5808207,5811105,1449
N_tatC,5811105,5811111,3
G_tatC,5811111,5812659,774
N_ftsP_1~~~ftsP_2~~~ftsP,5812659,5812811,76
G_ftsP_1~~~ftsP_2~~~ftsP,5812811,5815631,1410
N_tas_1~~~tas_2~~~tas,5815631,5815849,109
G_tas_1~~~tas_2~~~tas,5815849,5817925,1038
N_frdC_1~~~frdC~~~frdC_2,5817925,5817949,12
G_frdC_1~~~frdC~~~frdC_2,5817949,5818735,393
N_typA_1~~~typA_2~~~typA,5818735,5828737,5001
G_typA_1~~~typA_2~~~typA,5828737,5832379,1821
N_glgC_2~~~glgC_1~~~glgC,5832379,5832417,19
G_glgC_2~~~glgC_1~~~glgC,5832417,5835003,1293
G_glgA,5835003,5837865,1431
N_rapA_2~~~rapA_1~~~rapA,5837865,5838197,166
G_rapA_2~~~rapA_1~~~rapA,5838197,5844005,2904
N_cspE,5844005,5844707,351
G_cspE,5844707,5845121,207
N_pykF_2~~~pykF_1~~~pykF,5845121,5859771,7325
G_pykF_2~~~pykF_1~~~pykF,5859771,5862591,1410
N_trmD_2~~~trmD_1~~~trmD,5862591,5862655,32
G_trmD_2~~~trmD_1~~~trmD,5862655,5864185,765
N_murR_2~~~murR_1,5864185,5867225,1520
G_murR_2~~~murR_1,5867225,5868917,846
N_dacA_2~~~dacA_1~~~dacA,5868917,5869199,141
G_dacA_2~~~dacA_1~~~dacA,5869199,5871761,1281
N_gapA_1~~~gapA_2~~~gapA,5871761,5901171,14705
G_gapA_1~~~gapA_2~~~gapA,5901171,5903169,999
N_ftsH_1~~~ftsH_2~~~ftsH,5903169,5903353,92
G_ftsH_1~~~ftsH_2~~~ftsH,5903353,5907235,1941
N_yhbY,5907235,5923079,7922
G_yhbY,5923079,5923661,291
N_hfq,5923661,5923835,87
G_hfq,5923835,5924447,306
G_group_22763,5924447,5925095,324
N_rimO~~~rimO_2~~~rimO_1,5925095,5929309,2107
G_rimO~~~rimO_2~~~rimO_1,5929309,5931955,1323
N_rnt_2~~~rnt~~~rnt_1,5931955,5932163,104
G_rnt_2~~~rnt~~~rnt_1,5932163,5933453,645
G_yijD~~~yijD_2,5933453,5934167,357
N_gcvT_1~~~gcvT_2~~~gcvT,5934167,5937491,1662
G_gcvT_1~~~gcvT_2~~~gcvT,5937491,5939813,1161
N_cmoA_2~~~cmoA_1~~~cmoA,5939813,5940793,490
G_cmoA_2~~~cmoA_1~~~cmoA,5940793,5942275,741
N_rpsF,5942275,5943745,735
G_rpsF,5943745,5944531,393
N_flgC~~~flgC_2~~~flgC_3~~~flgC_1,5944531,5944539,4
G_flgC~~~flgC_2~~~flgC_3~~~flgC_1,5944539,5945343,402
N_groL_1~~~groL_2~~~groL,5945343,5945433,45
G_groL_1~~~groL_2~~~groL,5945433,5948721,1644
N_pgk_1~~~pgk_2~~~pgk,5948721,5948823,51
G_pgk_1~~~pgk_2~~~pgk,5948823,5951145,1161
N_rplT,5951145,5951255,55
G_rplT,5951255,5951963,354
N_infC,5951963,5952189,113
G_infC,5952189,5953053,432
N_rpsL,5953053,5953307,127
G_rpsL,5953307,5954051,372
N_kdsD_2~~~kdsD_1~~~kdsD_3,5954051,5954081,15
G_kdsD_2~~~kdsD_1~~~kdsD_3,5954081,5956049,984
N_aqpZ_2~~~glpF_2~~~glpF_1~~~glpF,5956049,5957565,758
G_aqpZ_2~~~glpF_2~~~glpF_1~~~glpF,5957565,5959251,843
N_yicJ_1~~~yicJ_2~~~yicJ~~~yicJ_3,5959251,5976641,8695
G_yicJ_1~~~yicJ_2~~~yicJ~~~yicJ_3,5976641,5979401,1380
N_lptB_2~~~lptB_3~~~lptB_1,5979401,5979415,7
G_lptB_2~~~lptB_3~~~lptB_1,5979415,5980903,744
N_lptC,5980903,5980947,22
G_lptC,5980947,5982093,573
N_gntT_2~~~gntT_1~~~gntT,5982093,5982817,362
G_gntT_2~~~gntT_1~~~gntT,5982817,5985571,1377
N_pgsA_1~~~pgsA_2~~~pgsA,5985571,5989343,1886
G_pgsA_1~~~pgsA_2~~~pgsA,5989343,5990435,546
N_rpsR,5990435,5990447,6
G_rpsR,5990447,5990897,225
N_rdgC~~~rdgC_2~~~rdgC_1,5990897,5993531,1317
G_rdgC~~~rdgC_2~~~rdgC_1,5993531,5995481,975
N_asnS_2~~~asnS_1~~~asnS,5995481,5995823,171
G_asnS_2~~~asnS_1~~~asnS,5995823,5998619,1398
N_arcA,5998619,6017835,9608
G_arcA,6017835,6019263,714
N_mltD_1~~~mltD_2~~~mltD,6019263,6019685,211
G_mltD_1~~~mltD_2~~~mltD,6019685,6022121,1218
N_dnaQ,6022121,6023163,521
G_dnaQ,6023163,6024639,738
N_yebC_2~~~yebC_1~~~yebC,6024639,6024699,30
G_yebC_2~~~yebC_1~~~yebC,6024699,6026175,738
N_ispU,6026175,6026555,190
G_ispU,6026555,6028067,756
N_yjjP_2~~~yjjP~~~yjjP_1,6028067,6037221,4577
G_yjjP_2~~~yjjP~~~yjjP_1,6037221,6038883,831
N_suhB,6038883,6060741,10929
G_suhB,6060741,6062343,801
N_rpmB,6062343,6062779,218
G_rpmB,6062779,6063247,234
G_truA_1~~~truA_2~~~truA,6063247,6064867,810
N_atpB_1~~~atpB_2~~~atpB,6064867,6064885,9
G_atpB_1~~~atpB_2~~~atpB,6064885,6066511,813
N_rhaT_1~~~rhaT_2~~~rhaT,6066511,6073051,3270
G_rhaT_1~~~rhaT_2~~~rhaT,6073051,6075115,1032
N_rapZ_1~~~rapZ_2~~~rapZ,6075115,6075209,47
G_rapZ_1~~~rapZ_2~~~rapZ,6075209,6076913,852
N_dtpA~~~dtpA_1~~~dtpA_2,6076913,6078135,611
G_dtpA~~~dtpA_1~~~dtpA_2,6078135,6081135,1500
N_secF_3~~~secF_1~~~secF_2~~~secF,6081135,6081159,12
G_secF_3~~~secF_1~~~secF_2~~~secF,6081159,6083097,969
N_spy~~~spy_1~~~spy_2,6083097,6086205,1554
G_spy~~~spy_1~~~spy_2,6086205,6087171,483
N_nadC_1~~~nadC_2~~~nadC,6087171,6090239,1534
G_nadC_1~~~nadC_2~~~nadC,6090239,6092021,891
N_ydhF~~~ydhF_1~~~ydhF_2,6092021,6108265,8122
G_ydhF~~~ydhF_1~~~ydhF_2,6108265,6110053,894
N_gcvA_1~~~gcvA_2~~~gcvA,6110053,6110775,361
G_gcvA_1~~~gcvA_2~~~gcvA,6110775,6112605,915
N_fdoH,6112605,6117557,2476
G_fdoH,6117557,6119357,900
N_panD_1~~~panD~~~panD_2,6119357,6122707,1675
G_panD_1~~~panD~~~panD_2,6122707,6123463,378
N_mdh_2~~~mdh_1~~~mdh_3,6123463,6126651,1594
G_mdh_2~~~mdh_1~~~mdh_3,6126651,6128523,936
N_pnp_1~~~pnp_2~~~pnp,6128523,6129041,259
G_pnp_1~~~pnp_2~~~pnp,6129041,6133307,2133
N_accC_1~~~accC_2~~~accC,6133307,6133331,12
G_accC_1~~~accC_2~~~accC,6133331,6136025,1347
N_htpG_1~~~htpG~~~htpG_2,6136025,6136247,111
G_htpG_1~~~htpG~~~htpG_2,6136247,6139991,1872
N_group_21909,6139991,6148935,4472
G_group_21909,6148935,6152055,1560
N_ispB~~~ispB_2~~~ispB_1,6152055,6160113,4029
G_ispB~~~ispB_2~~~ispB_1,6160113,6162075,981
N_raiA,6162075,6164645,1285
G_raiA,6164645,6165323,339
N_srkA_1~~~srkA,6165323,6165479,78
G_srkA_1~~~srkA,6165479,6167447,984
G_rsmA_1~~~rsmA_2~~~rsmA,6167447,6169085,819
N_mpl_2~~~mpl_1~~~mpl,6169085,6171501,1208
G_mpl_2~~~mpl_1~~~mpl,6171501,6174243,1371
N_purC_2~~~purC~~~purC_1,6174243,6174677,217
G_purC_2~~~purC~~~purC_1,6174677,6176099,711
N_fabF_1~~~fabF_2~~~fabF~~~fabF_3,6176099,6176293,97
G_fabF_1~~~fabF_2~~~fabF~~~fabF_3,6176293,6178777,1242
N_rsgA_2~~~rsgA_1~~~rsgA,6178777,6181871,1547
G_rsgA_2~~~rsgA_1~~~rsgA,6181871,6183989,1059
N_ftsX_2~~~ftsX_1~~~ftsX,6183989,6183995,3
G_ftsX_2~~~ftsX_1~~~ftsX,6183995,6186107,1056
N_nrdR_2~~~nrdR_1~~~nrdR,6186107,6191825,2859
